field_rule_id,shipment_field,fulfillment_field,authority,comparison_rule,allowed_difference,enforcement_stage,contradiction_action
FR-001,vendor_id,vendor_id,shipment,exact_match,none,migration_validation_then_later_cross_table_trigger,preserve_both_and_report_exception
FR-002,item_id,item_id,shipment,exact_match,none,migration_validation_then_later_cross_table_trigger,preserve_both_and_report_exception
FR-003,location_id,location_id,shipment,exact_match,none,migration_validation_then_later_cross_table_trigger,preserve_both_and_report_exception
FR-004,related_ticket_id,related_ticket_id,shipment,exact_match,none,migration_validation_then_later_cross_table_trigger,preserve_both_and_report_exception
FR-005,order_date,order_date,shipment,exact_match,none,migration_validation_then_later_cross_table_trigger,preserve_both_and_report_exception
FR-006,expected_delivery_date,expected_delivery_date,shipment,exact_match,none,migration_validation_then_later_cross_table_trigger,preserve_both_and_report_exception
FR-007,actual_delivery_date,actual_delivery_date,shipment,exact_match,none,migration_validation_then_later_cross_table_trigger,preserve_both_and_report_exception
FR-008,ordered_quantity,expected_quantity,shipment,exact_match,none,migration_validation_then_later_cross_table_trigger,preserve_both_and_report_exception
FR-009,received_quantity,received_quantity,shipment_physical_movement,pending_snapshot_translation,shipment_blank_may_pair_with_fulfillment_zero_only_while_fulfillment_is_pending,migration_validation_then_later_cross_table_trigger,preserve_both_and_report_exception
FR-010,fulfillment_accuracy_flag,fulfillment_accuracy_flag,shipment_when_assessable,pending_snapshot_translation,shipment_blank_may_pair_with_fulfillment_false_only_while_fulfillment_is_pending,migration_validation_then_later_cross_table_trigger,preserve_both_and_report_exception
FR-011,delay_flag,delay_flag,shipment,exact_match,none,migration_validation_then_later_cross_table_trigger,preserve_both_and_report_exception
FR-012,delivery_status,delivery_status,independent_concepts,status_matrix,shipment_lifecycle_and_fulfillment_delivery_timing_are_not_directly_equal,migration_validation_then_later_cross_table_trigger,preserve_both_and_report_exception
